model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"{'kernel': 'poly', 'C': 1, 'degree': 2, 'random_state': 42}",ABU50,151,80,141,72,444,223,221,151,80,141,72,444,223,221,0.5171232876712328,0.6771300448430493,0.5864077669902913,0.5202702702702703,0.5171232876712328,0.6771300448430493,0.5864077669902913,0.5202702702702703,0.5208080808080808,0.5208080808080808,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
SVC,overall,"{'C': 0.1, 'kernel': 'poly', 'degree': 2, 'random_state': 42}",ABU50,195,41,180,28,444,223,221,195,41,180,28,444,223,221,0.52,0.874439461883408,0.6521739130434782,0.5315315315315315,0.52,0.874439461883408,0.6521739130434782,0.5315315315315315,0.5302020202020202,0.5302020202020202,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
SVC,overall,"{'C': 0.1, 'kernel': 'poly', 'degree': 3, 'random_state': 42}",ABU50,165,58,163,58,444,223,221,165,58,163,58,444,223,221,0.5030487804878049,0.7399103139013453,0.5989110707803993,0.5022522522522522,0.5030487804878049,0.7399103139013453,0.5989110707803993,0.5022522522522522,0.5022222222222222,0.5022222222222222,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
SVC,overall,"{'C': 10, 'degree': 2, 'random_state': 42, 'kernel': 'rbf'}",ABU50,146,117,104,77,444,223,221,146,117,104,77,444,223,221,0.584,0.6547085201793722,0.6173361522198731,0.5923423423423423,0.584,0.6547085201793722,0.6173361522198731,0.5923423423423423,0.591919191919192,0.591919191919192,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",ABU50,123,148,73,100,444,223,221,123,148,73,100,444,223,221,0.6275510204081632,0.5515695067264574,0.5871121718377089,0.6103603603603603,0.6275510204081632,0.5515695067264574,0.5871121718377089,0.6103603603603603,0.6105555555555556,0.6105555555555556,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
knn_classifier,overall,"{'n_neighbors': 9, 'metric': 'manhattan', 'weights': 'uniform'}",ABU50,137,124,97,86,444,223,221,137,124,97,86,444,223,221,0.5854700854700855,0.6143497757847534,0.5995623632385121,0.5878378378378378,0.5854700854700855,0.6143497757847534,0.5995623632385121,0.5878378378378378,0.5873737373737373,0.5873737373737373,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
knn_classifier,overall,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",ABU50,128,146,75,95,444,223,221,128,146,75,95,444,223,221,0.6305418719211823,0.5739910313901345,0.6009389671361502,0.6171171171171171,0.6305418719211823,0.5739910313901345,0.6009389671361502,0.6171171171171171,0.6176767676767676,0.6176767676767676,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 5}",ABU50,118,131,90,105,444,223,221,118,131,90,105,444,223,221,0.5673076923076923,0.5291479820627802,0.5475638051044083,0.5608108108108109,0.5673076923076923,0.5291479820627802,0.5475638051044083,0.5608108108108109,0.5611111111111111,0.5611111111111111,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
logistic_regression,overall,"{'solver': 'liblinear', 'C': 100000000.0, 'penalty': 'l2', 'random_state': 42}",ABU50,130,134,87,93,444,223,221,123,134,87,100,444,223,221,0.5990783410138248,0.5829596412556054,0.5909090909090908,0.5945945945945946,0.5857142857142857,0.5515695067264574,0.5681293302540416,0.5788288288288288,0.5945959595959596,0.5788383838383838,-0.0133640552995391,-0.0313901345291479,-0.0227797606550492,-0.0157657657657658,-0.0157575757575757,exp96-ABU50-feature-set4-SMOTE,True
logistic_regression,overall,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear', 'random_state': 42}",ABU50,128,138,83,95,444,223,221,128,138,83,95,444,223,221,0.6066350710900474,0.5739910313901345,0.5898617511520738,0.5990990990990991,0.6066350710900474,0.5739910313901345,0.5898617511520738,0.5990990990990991,0.598939393939394,0.598939393939394,0.0,0.0,0.0,0.0,0.0,exp96-ABU50-feature-set4-SMOTE,True
