metric,dataset_id,metric_type,expected_cor,num_snippets_for_correlation,kendalls_tau,kendalls_p_value,expected_cor?,cor_intepretation,stat_significant?
correct_output_rating,1,correctness,negative,23,-0.2588600915717736,0.11858261348204922,*,small,
output_difficulty,1,rating,negative,23,-0.3630554894720564,0.02649782086730554,*,medium,*
time_to_give_output,1,time,positive,23,0.38268492933927684,0.01856470797931634,*,medium,*
brain_deact_31ant,2,physiological,negative,12,-0.20184335693983277,0.4065712940338708,*,small,
brain_deact_31post,2,physiological,negative,12,-0.23854214911071142,0.32667108863875705,*,small,
brain_deact_32,2,physiological,negative,12,-0.49543369430686224,0.0416368567827736,*,medium,*
time_to_understand,2,time,positive,12,0.3486385256233475,0.15170441973059706,*,medium,
readability_level,3,rating,negative,100,,,,,
binary_understandability,6,rating,negative,50,,,,,
correct_verif_questions,6,correctness,negative,50,,,,,
time_to_understand,6,time,positive,50,,,,,
gap_accuracy,9,correctness,negative,30,-0.1306708482007147,0.3581258439224645,*,small,
readability_level_ba,9,rating,negative,30,0.08553337321327789,0.5483178177462631,,none,
readability_level_before,9,rating,negative,30,0.04028068704356932,0.7782565834710006,,none,
time_to_read_complete,9,time,positive,30,-0.20776743064366646,0.1435729559776537,,small,
brain_deact_31,f,physiological,negative,16,-0.2608745973749755,0.189459515366179,*,small,
brain_deact_32,f,physiological,negative,16,-0.3540440964374667,0.07494263177455186,*,medium,
complexity_level,f,rating,positive,16,0.14034022285595998,0.481699512487204,*,small,
perc_correct_output,f,correctness,negative,16,0.03774256780481986,0.8508111952177798,,none,
time_to_understand,f,time,positive,16,0.07453559924999299,0.7077285315990198,*,none,
