warning_feature,feature_set,#best_hyperparameters,use_smote,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set1,c (38) cw (38),True,PBU,f1_positive,0.7610700909577313,0.7795017745931829,0.6352938420635491,0.6415592612473787,0.018431683635451668,0.0062654191838296125,0.32829369249520823,0.007617728531855956,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,f1_weighted,0.5913195985705235,0.5977433110950624,0.522992035959302,0.5304483932035959,0.006423712524538883,0.007456357244293943,0.09960887434863253,-0.1128808864265928,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,f1_negative,0.1895933014354067,0.2011268875366238,0.24109158390170238,0.2515374387263445,0.011533586101217103,0.010445854824642109,0.09458719046233455,-0.07409972299168975,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,precision_positive,0.7123959084650187,0.7147543452073654,0.7229271403359606,0.7307881606423301,0.0023584367423467034,0.007861020306369482,0.07219223861102364,-0.14127423822714683,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,precision_weighted,0.5869362348958423,0.5914495494417686,0.5896807886964105,0.6002653664647835,0.004513314545926295,0.01058457776837296,0.037123725702258525,-0.18905817174515235,small,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,precision_negative,0.270509977827051,0.2819293478260869,0.25520525294815133,0.2726265157742076,0.011419369999035922,0.017421262826056272,0.0663175195659278,-0.24722991689750692,small,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,recall_positive,0.8191056910569106,0.8597560975609756,0.6552203679931536,0.6612109542148054,0.04065040650406504,0.005990586221651717,0.5851229191939638,0.024238227146814405,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,recall_weighted,0.6395348837209303,0.6497093023255814,0.5651009791921663,0.5714504283965728,0.01017441860465118,0.006349449204406499,0.32909958958630814,-0.023545706371191136,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,recall_negative,0.14795918367346933,0.15306122448979587,0.3388829215896886,0.3461331901181525,0.005102040816326536,0.007250268528463943,0.1619776997804439,-0.06717451523545706,negligible,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,auc,0.493609022556391,0.49923415682062294,0.4963921363559275,0.5029206569054213,0.005625134264231946,0.0065285205494938214,0.060811361552623566,-0.18559556786703602,small,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,auc_weighted,0.493609022556391,0.49923415682062294,0.4963921363559275,0.5029206569054213,0.005625134264231946,0.0065285205494938214,0.060811361552623566,-0.18559556786703602,small,38
warnings_checker_framework,set1,c (38) cw (38),True,PBU,accuracy,0.6911764705882353,0.6985294117647058,0.5967492260061918,0.6091331269349844,0.007352941176470562,0.012383900928792602,0.18977422957620815,-0.02008310249307479,negligible,38
warnings_infer,set1,c (34) cw (34),True,PBU,f1_positive,0.757778962331201,0.7385540940144795,0.6485178580292881,0.6236313013660452,-0.019224868316721544,-0.02488655666324291,0.7867441990529187,-0.04757785467128028,negligible,34
