warning_feature,feature_set,#best_hyperparameters,use_smote,model,target,metric,code(median),code+warning(median),code(mean),code+warning(mean),diff(median),diff(mean),wilcoxon_test(p-value),cliffs_delta,cliffs_delta_result,num_of_pairs
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,f1_positive,0.7569721115537849,0.6161369193154035,0.6393659384772341,0.6174036345032543,-0.14083519223838137,-0.021962303973979802,0.78125,0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,f1_weighted,0.6125785095909013,0.5651823510074748,0.5445090211695757,0.5326853143271049,-0.047396158583426495,-0.011823706842470805,0.59375,0.36,medium,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,f1_negative,0.3440860215053763,0.3781818181818182,0.30639880017280074,0.3200250412318723,0.03409579667644186,0.013626241059071564,0.15625,-0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,precision_positive,0.7421875,0.7245508982035929,0.7569136242449754,0.7384696469515832,-0.017636601796407136,-0.0184439772933922,0.6875,0.04,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,precision_weighted,0.6343444437103594,0.6018327947966897,0.6296724375214768,0.612579370867149,-0.032511648913669644,-0.01709306665432786,0.84375,0.2,small,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,precision_negative,0.2955974842767295,0.2937853107344633,0.31027109125636815,0.2965690860021404,-0.0018121735422662044,-0.013702005254227767,0.6875,0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,recall_positive,0.7723577235772358,0.5121951219512195,0.6536585365853659,0.5886178861788618,-0.26016260162601623,-0.06504065040650409,0.84375,0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,recall_weighted,0.6453488372093024,0.5436046511627907,0.5825581395348838,0.5494186046511628,-0.1017441860465117,-0.03313953488372101,0.84375,0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,recall_negative,0.3265306122448979,0.5306122448979592,0.4040816326530612,0.45102040816326533,0.20408163265306134,0.046938775510204145,0.20924611672340993,-0.16,small,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,auc,0.5231514500537058,0.5109634801288937,0.5282655209452202,0.518905477980666,-0.012187969924812081,-0.009360042964554172,0.84375,0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,auc_weighted,0.5231514500537058,0.5109634801288937,0.5282655209452202,0.518905477980666,-0.012187969924812081,-0.009360042964554172,0.84375,0.12,negligible,5
warnings_checker_framework,set1,c (5) cw (5),True,svc,PBU,accuracy,0.7352941176470589,0.6911764705882353,0.6382352941176471,0.6352941176470589,-0.044117647058823595,-0.002941176470588225,0.5546270995339668,0.04,negligible,5
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,f1_positive,0.7831485053037608,0.7906645569620252,0.7388117697774119,0.7823327108415754,0.007516051658264411,0.04352094106416349,0.1162109375,-0.12,negligible,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,f1_weighted,0.6058838875442842,0.5994899034121455,0.5831103187531536,0.6000604668360368,-0.006393984132138764,0.0169501480828832,0.5390625,0.08,negligible,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,f1_negative,0.16247002398081528,0.14870093974571585,0.19226790087593398,0.14251993596499096,-0.013769084235099427,-0.04974796491094302,0.947265625,0.4,medium,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,precision_positive,0.7121403415509335,0.7103838190794713,0.7058116689402417,0.7099370856930973,-0.0017565224714621852,0.004125416752855604,0.5390625,0.14,negligible,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,precision_weighted,0.5846380063389433,0.5838304761197154,0.5801114249945094,0.5755143525825965,-0.0008075302192278588,-0.0045970724119128725,0.6875,0.14,negligible,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,precision_negative,0.2645811240721103,0.26615575807787906,0.2645781595797122,0.23808585926440112,0.001574634005768738,-0.02649230031531108,0.75390625,0.17,small,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,recall_positive,0.8699186991869918,0.8902439024390244,0.7926829268292683,0.8723577235772358,0.020325203252032575,0.07967479674796751,0.1162109375,-0.17,small,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,recall_weighted,0.6555232558139534,0.6598837209302325,0.6186046511627907,0.6537790697674418,0.0043604651162790775,0.03517441860465109,0.09228627641994147,-0.1,negligible,10
warnings_checker_framework,set1,c (10) cw (10),True,knn_classifier,PBU,recall_negative,0.11734693877551015,0.1020408163265306,0.18163265306122445,0.1051020408163265,-0.015306122448979553,-0.07653061224489795,0.92347905792059,0.35,medium,10
